"line","song_lyrics_url","song_name","artist_name"
"Bitch, don't kill my vibe! Bitch, don't kill my vibe!","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I'm tryin' to keep it alive","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"And not compromise the feeling we love","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"You're tryin' to keep it deprived","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"And only co-sign what radio does","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"And I'm lookin' right past you","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"We live in a world, we live in a world on two different axles","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"You live in a world, you livin' behind the mirror","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I know what you scared of","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"The feeling of feeling emotions inferior","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"This shit is vital, I know you had to","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"This shit is vital, I know you had to","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Die in a pitiful vain, tell me a watch and a chain","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Is way more believable, give me a feasible gain","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Rather a seasonal name","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I'll let the people know this is somethin' you can blame","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"On yourselves, you can remain stuck in a box","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I'ma break out and then hide every lock","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I'ma break out and then hide every lock","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I can feel the changes","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"I can feel the new people around me just want to be famous","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"You can see that my city found me","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
"Then put me on stages, to me that's amazin'","https://genius.com/Kendrick-lamar-bitch-dont-kill-my-vibe-lyrics","Bitch, Don't Kill My Vibe","Kendrick Lamar"
